岩名,GPS経度,GPS緯度,URL,エリア名,コメント,ルート数,初登権,場所,岩画像,池亀ボルダールート,発見した日時,発見者,経度,緯度
093（仮),140;10;11.1144,36;23;34.7243,"https://www.google.co.jp/maps?q=36.392979,140.169754",ハイキング道周辺,,0,発見者,,20251229_144412198-min.jpg,,"December 29, 2025 14:44 (GMT+9)",森　清隆,140.169754,36.392979
094（仮),140;10;11.0207,36;23;34.6344,"https://www.google.co.jp/maps?q=36.392954,140.169728",ハイキング道周辺,,0,発見者,,20251229_144507402-min.jpg,,"December 29, 2025 14:45 (GMT+9)",森　清隆,140.169728,36.392954
095（仮）,140;10;7.4495,36;23;39.9876,"https://www.google.co.jp/maps?q=36.394441,140.168736",崩落地周辺（仮）,,0,発見者,,20251231_130942367-min.jpg,,"December 31, 2025 13:09 (GMT+9)",森　清隆,140.168736,36.394441
096（仮）,140;10;7.4495,36;23;39.9876,"https://www.google.co.jp/maps?q=36.394441,140.168736",崩落地周辺（仮）,,0,発見者,,20251231_130948110-min.jpg,,"December 31, 2025 13:09 (GMT+9)",森　清隆,140.168736,36.394441
097,140;10;9.3971,36;23;34.9835,"https://www.google.co.jp/maps?q=36.393051,140.169277",森エリア（仮）,,0,発見者,,20260109_145945667.jpg,,"January 9, 2026 14:59 (GMT+9)",森　清隆,140.169277,36.393051
098（仮）,140;10;14.2607,36;23;35.7071,"https://www.google.co.jp/maps?q=36.393252,140.170628",ハイキング道周辺,,0,発見者,,20260109_150747107.jpg,,"January 9, 2026 15:07 (GMT+9)",森　清隆,140.170628,36.393252
099（仮）,140;10;14.8259,36;23;36.5604,"https://www.google.co.jp/maps?q=36.393489,140.170785",ハイキング道周辺,,0,発見者,,20260109_151054327.jpg,,"January 9, 2026 15:10 (GMT+9)",森　清隆,140.170785,36.393489
100（仮）,140;10;17.5260,36;23;37.2984,"https://www.google.co.jp/maps?q=36.393694,140.171535",ハイキング道周辺上,,0,発見者,,20260109_151508911.jpg,,"January 9, 2026 15:15 (GMT+9)",森　清隆,140.171535,36.393694
101（仮）,140;10;18.3684,36;23;38.2379,"https://www.google.co.jp/maps?q=36.393955,140.171769",ハイキング道周辺上,,0,発見者,,20260109_151705075.jpg,,"January 9, 2026 15:17 (GMT+9)",森　清隆,140.171769,36.393955
102（仮）,140;10;20.0243,36;23;39.6347,"https://www.google.co.jp/maps?q=36.394343,140.172229",ハイキング道周辺上,,0,発見者,,20260109_151954261.jpg,,"January 9, 2026 15:19 (GMT+9)",森　清隆,140.172229,36.394343
103（仮）,140;10;20.3700,36;23;40.3367,"https://www.google.co.jp/maps?q=36.394538,140.172325",ハイキング道周辺上,,0,発見者,,20260109_152212317.jpg,,"January 9, 2026 15:22 (GMT+9)",森　清隆,140.172325,36.394538
104（仮）,140;10;20.5284,36;23;40.4879,"https://www.google.co.jp/maps?q=36.39458,140.172369",ハイキング道周辺上,,0,発見者,,20260109_152301519.jpg,,"January 9, 2026 15:23 (GMT+9)",森　清隆,140.172369,36.39458
105（仮）,140;10;20.4852,36;23;41.1432,"https://www.google.co.jp/maps?q=36.394762,140.172357",ハイキング道周辺上,,0,発見者,,20260109_152355923.jpg,,"January 9, 2026 15:23 (GMT+9)",森　清隆,140.172357,36.394762
106（仮）,140;10;18.9336,36;23;42.8495,"https://www.google.co.jp/maps?q=36.395236,140.171926",ハイキング道周辺上,,0,発見者,,20260109_153147611.jpg,,"January 9, 2026 15:31 (GMT+9)",森　清隆,140.171926,36.395236
107（仮）,140;10;13.5407,36;23;39.3215,"https://www.google.co.jp/maps?q=36.394256,140.170428",東エリア（仮）,,0,発見者,,20260109_154530547.jpg,,"January 9, 2026 15:45 (GMT+9)",森　清隆,140.170428,36.394256
108（仮）,140;10;9.1776,36;23;37.3559,"https://www.google.co.jp/maps?q=36.39371,140.169216",森エリア（仮）,,0,発見者,,20260110_134929800.jpg,,"January 10, 2026 13:49 (GMT+9)",森　清隆,140.169216,36.39371
109（仮）,140;10;9.8471,36;23;39.5771,"https://www.google.co.jp/maps?q=36.394327,140.169402",東尾根（仮）,,0,発見者,,20260110_140910312.jpg,,"January 10, 2026 14:09 (GMT+9)",森　清隆,140.169402,36.394327
110（仮）,140;10;9.5663,36;23;39.5592,"https://www.google.co.jp/maps?q=36.394322,140.169324",東尾根（仮）,,0,発見者,,20260110_141044789.jpg,,"January 10, 2026 14:10 (GMT+9)",森　清隆,140.169324,36.394322
111（仮）,140;10;11.9820,36;23;31.0416,"https://www.google.co.jp/maps?q=36.391956,140.169995",ハイキング道周辺,,0,発見者,,20260116_135357700_mini.jpg,,"January 16, 2026 13:53 (GMT+9)",森　清隆,140.169995,36.391956
